RA,Nome,Gênero,Turma,Escola,Instituição de ensino,Ativo/ Inativo,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2024,INDE 2022,INDE 2023,INDE 2024,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Avaliador4,Avaliador5,Avaliador6,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-1627,Aluno-1627,Feminino,6A,EE Alexandre Rodrigues Nogueira,Pública,Cursando,2024,6A,Fase 7 (3° EM),-1,Ametista,,,7.481547222200001,2007-05-25 00:00:00,17,,,,,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-1,Avaliador-26,Avaliador-7,,7.083,7.777777777666667,7.51,7.65625,,7.833333333333333,6.0,7.5,10.0,,,8.172,5.0,,,,2024
RA-1628,Aluno-1628,Feminino,6A,EE Joaquim Mendes Feliz,Pública,Cursando,2024,6A,Fase 6 (2° EM),0,Ametista,,,7.500131368600001,2008-02-04 00:00:00,16,,,,,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-1,Avaliador-26,Avaliador-7,,8.334,8.509823509666667,7.51,6.875,,5.833333333333333,3.0,5.0,9.5,,,6.798,10.0,,,,2024
RA-1629,Aluno-1629,Feminino,6A,EE Paschoal Carlos Magno,Pública,Cursando,2024,6A,Fase 7 (3° EM),-1,Ametista,,,7.560550529133334,2007-05-07 00:00:00,17,,,,,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-1,Avaliador-26,Avaliador-7,,9.585,8.645502645666667,7.51,7.1875,,7.25,8.75,3.0,10.0,,,7.266,5.0,,,,2024
RA-1630,Aluno-1630,Masculino,6L,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2024,6L,Fase 6 (2° EM),0,Topázio,,,8.583133333333334,2008-01-30 00:00:00,16,,,,,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,8.334,9.833333333333334,7.51,8.25,,7.333333333333333,9.0,9.0,4.0,,,8.702,10.0,,,,2024
RA-1631,Aluno-1631,Masculino,6L,Rede Decisão - Unidade União,Privada,Cursando,2024,6L,Fase 7 (3° EM),-1,Topázio,,,8.186433333333333,2007-03-23 00:00:00,17,,,,,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,9.585,10.0,7.51,8.5,,7.166666666666667,5.0,6.5,10.0,,,8.468,5.0,,,,2024
RA-1632,Aluno-1632,Masculino,6L,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2024,6L,Fase 6 (2° EM),0,Topázio,,,8.389333333333335,2008-02-14 00:00:00,16,,,,,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,9.168,10.0,7.51,7.75,,6.666666666666667,9.0,6.0,5.0,,,8.066,10.0,,,,2024
RA-1633,Aluno-1633,Masculino,8B,Unicamp,Privada,Cursando,2021,8B,Fase 8 (Universitários),0,,,,,2003-03-16 03:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1634,Aluno-1634,Feminino,8B,Universidade Santo Amaro (UNISA),Privada,Cursando,2021,8B,Fase 8 (Universitários),0,,,,,2003-03-19 03:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1635,Aluno-1635,Feminino,8D,Universidade Santo Amaro (UNISA),Privada,Cursando,2021,8D,Fase 8 (Universitários),0,,,,,2004-09-02 03:00:00,20,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1636,Aluno-1636,Feminino,8E,Colégio Albert Einstein,Privada,Cursando,2021,8E,Fase 8 (Universitários),0,,,,,2004-06-10 03:00:00,20,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1637,Aluno-1637,Masculino,9,Faculdade (FIAP),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2001-07-23 03:00:00,23,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1638,Aluno-1638,Feminino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-01-25 02:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1639,Aluno-1639,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2003-02-05 02:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-164,Aluno-164,Masculino,5L,Colégio Nogueira e Sonho de Criança,Privada,Cursando,2021,5L,Fase 7 (3° EM),-2,Agata,6.775990920062696,5.638666667,6.837125731066667,2006-12-29 00:00:00,17,Ágata,Ágata,Ágata,Quartzo,,,,3,Avaliador-23,,Avaliador-24,,Avaliador-7,,,,9.585,8.084795321666666,6.26,6.25,,5.666666666666667,6.0,2.0,9.0,,,6.886666667,5.0,,,,2024
RA-1640,Aluno-1640,Feminino,9,Universidade Estácio de Sá,Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2001-02-26 03:00:00,23,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1641,Aluno-1641,Masculino,9,Universidade Santo Amaro (UNISA),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-12-23 02:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1642,Aluno-1642,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2001-03-18 03:00:00,23,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1643,Aluno-1643,Masculino,9,Faculdade (FIAP),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-06-18 00:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1644,Aluno-1644,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2003-07-28 03:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1645,Aluno-1645,Masculino,9,Faculdade (FIAP),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2001-08-08 03:00:00,23,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1646,Aluno-1646,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2003-07-28 03:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1647,Aluno-1647,Feminino,9,Universidade Santo Amaro (UNISA),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-11-01 03:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1648,Aluno-1648,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-04-07 00:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1649,Aluno-1649,Masculino,9,Faculdade (FIAP),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2001-03-30 03:00:00,23,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-165,Aluno-165,Feminino,5L,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5L,Fase 5 (1° EM),0,Topázio,8.063313842911878,7.583433333,8.4627502436,2008-08-02 00:00:00,16,Ametista,Ametista,Topázio,Ametista,,,,3,Avaliador-23,,Avaliador-24,,Avaliador-7,,,,7.5,9.431042884999998,7.51,7.96875,,8.5,10.0,7.5,8.0,,,7.893333333,10.0,,,,2024
RA-1650,Aluno-1650,Masculino,9,Faculdade (FIAP),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-09-01 03:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1651,Aluno-1651,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-05-08 00:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1652,Aluno-1652,Feminino,9,Faculdade (FIAP),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-10-16 03:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1653,Aluno-1653,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2003-11-10 02:00:00,20,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1654,Aluno-1654,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-01-26 02:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1655,Aluno-1655,Feminino,9,Faculdade (FIAP),Privada,Cursando,2022,9,Fase 8 (Universitários),1,INCLUIR,,,,2003-01-12 02:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1656,Aluno-1656,Masculino,9,Bolsista Universitário *Formado (a),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-09-09 00:00:00,22,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1657,Aluno-1657,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2003-12-07 02:00:00,20,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1658,Aluno-1658,Masculino,9,Faculdade (FIAP),Privada,Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2002-12-14 02:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1659,Aluno-1659,Masculino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2003-02-04 02:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-166,Aluno-166,Masculino,7E,FIAP School - SP,Privada *Parcerias com Bolsa 100%,Cursando,2021,7E,Fase 6 (2° EM),1,Topázio,8.253049807035875,8.105583333,8.243183333333334,2008-06-03 00:00:00,16,Ametista,Ametista,Topázio,Topázio,,,,0,,,,,,,,,8.334,9.246,6.5725,7.5,,8.266666666666667,8.2,7.8,8.8,,,7.5,10.0,,,,2024
RA-1660,Aluno-1660,Feminino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2000-06-28 03:00:00,24,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-1661,Aluno-1661,Feminino,9,Bolsista Universitário *Formado (a),Bolsista Universitário *Formado (a),Cursando,2021,9,Fase 8 (Universitários),1,INCLUIR,,,,2003-01-29 02:00:00,21,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-167,Aluno-167,Feminino,6L,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,6L,Fase 7 (3° EM),-1,Topázio,7.7984703695652176,7.806141667,8.033470175466666,2006-08-10 00:00:00,18,Ametista,Ametista,Ametista,Ametista,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,8.751,9.473684210666667,6.26,8.375,,8.166666666666666,8.0,6.5,10.0,,,8.334,5.0,,,,2024
RA-17,Aluno-17,Masculino,8E,Faculdade FIAP,Privada - Pagamento por *Empresa Parceira,Cursando,2022,8E,Fase 8 (Universitários),0,,8.0677095,,,2002-02-12 00:00:00,22,,,Topázio,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-170,Aluno-170,Feminino,4R,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,4R,Fase 5 (1° EM),-1,Ametista,7.006941758454106,7.062433333,7.646383333300001,2008-10-23 00:00:00,16,Ametista,Ametista,Ágata,Ametista,,,,6,Avaliador-23,,Avaliador-22,,Avaliador-17,Avaliador-1,Avaliador-5,Avaliador-26,9.168,8.5,5.635,7.604166667,,8.0,10.0,6.5,7.5,,,8.028333333,5.0,,,,2024
RA-171,Aluno-171,Masculino,6L,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2022,6L,Fase 7 (3° EM),-1,Ametista,6.580933343434343,6.293083333,7.3289333333333335,2006-09-16 00:00:00,18,,,Ágata,Agata,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,7.5,7.833333333333333,5.635,7.625,,8.333333333333334,7.0,8.0,10.0,,,7.598,5.0,,,,2024
RA-172,Aluno-172,Feminino,7E,Colégio Albert Einstein - SP,Privada - Programa de Apadrinhamento,Cursando,2021,7E,Fase 6 (2° EM),1,Topázio,8.67342461904762,,8.128766666666667,2008-01-20 00:00:00,16,Ametista,Topázio,Topázio,,,,,0,,,,,,,,,8.751,9.8,6.57,7.5,,6.933333333333334,6.7,7.7,6.4,,,7.5,10.0,,,,2024
RA-173,Aluno-173,Masculino,8F,Faculdade FIAP,Privada *Parcerias com Bolsa 100%,Cursando,2021,8F,Fase 8 (Universitários),0,,7.815768210526317,7.757466667,,2005-11-16 00:00:00,18,Ametista,Ametista,Ametista,Ametista,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-175,Aluno-175,Feminino,6L,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,6L,Fase 7 (3° EM),-1,Topázio,6.749980560606062,6.569516667,8.024136842133334,2007-03-04 00:00:00,17,Ametista,Ametista,Ágata,Agata,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,10.002,9.473684210666667,6.26,7.5,,8.5,9.5,6.5,9.5,,,7.766,5.0,,,,2024
RA-176,Aluno-176,Feminino,5C,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5C,Fase 4 (9° ano),1,Topázio,8.427269800194932,8.316833333,8.828632575733334,2009-08-28 00:00:00,15,Topázio,Ametista,Topázio,Topázio,,,,4,Avaliador-23,,Avaliador-22,,Avaliador-1,Avaliador-5,,,9.585,9.545454545333333,6.26,8.59375,,8.833333333333334,9.0,8.0,9.5,,,8.545,10.0,,,,2024
RA-178,Aluno-178,Feminino,5A,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5A,Fase 5 (1° EM),0,Ametista,7.024874570707071,7.406658333,7.234168831200001,2008-10-05 00:00:00,16,Ametista,Ametista,Ágata,Ametista,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,9.585,8.739177489333334,6.26,7.625,,4.166666666666667,2.5,2.5,7.5,,,6.53,10.0,,,,2024
RA-179,Aluno-179,Masculino,4A,Recanto Betânia Centro Educacional,Privada,Cursando,2022,4A,Fase 3 (7° e 8° ano),1,Topázio,7.992900671071327,8.437641667,8.932712280733334,2010-11-24 00:00:00,13,,,Ametista,Topázio,,,,5,Avaliador-21,,Avaliador-23,,Avaliador-26,Avaliador-1,Avaliador-5,,9.168,9.407894737,9.38,8.75,,8.166666666666666,7.0,8.0,9.5,,,8.44,10.0,,,,2024
RA-180,Aluno-180,Masculino,5A,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5A,Fase 3 (7° e 8° ano),2,Topázio,8.441663515948964,8.283216667,8.801463636333335,2010-09-22 00:00:00,14,Topázio,Topázio,Topázio,Topázio,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,9.168,9.431818181666666,7.51,8.125,,8.5,9.0,8.5,8.0,,,8.674,10.0,,,,2024
RA-181,Aluno-181,Feminino,5A,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5A,Fase 5 (1° EM),0,Ametista,8.622797438146648,7.671208333,7.439841414133334,2009-03-01 00:00:00,15,Topázio,Ametista,Topázio,Ametista,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,7.5,8.737373737333334,6.26,7.625,,4.333333333333333,0.0,7.5,5.5,,,8.436,10.0,,,,2024
RA-183,Aluno-183,Feminino,4A,EE Mario Francisco de Amorim,Pública,Cursando,2022,4A,Fase 4 (9° ano),0,Topázio,7.3003789545454545,7.586241667,8.266902371533334,2009-08-15 00:00:00,15,,,Ametista,Ametista,,,,5,Avaliador-21,,Avaliador-23,,Avaliador-26,Avaliador-1,Avaliador-5,,7.917,9.249011857666666,6.26,8.25,,7.5,5.0,7.5,10.0,,,8.372,10.0,,,,2024
RA-184,Aluno-184,Masculino,5D,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5D,Fase 4 (9° ano),1,Topázio,7.2799257424242425,8.430241667,8.471456704266666,2010-03-27 00:00:00,14,Ametista,Ametista,Ametista,Topázio,,,,5,Avaliador-23,,Avaliador-26,,Avaliador-22,Avaliador-1,Avaliador-5,,8.751,8.696741854666667,6.26,7.96875,,8.166666666666666,9.5,5.0,10.0,,,9.004,10.0,,,,2024
RA-186,Aluno-186,Feminino,5B,Colégio Nogueira e Sonho de Criança,Privada,Cursando,2021,5B,Fase 4 (9° ano),1,Topázio,7.831592958621301,7.817541667,8.325963636333334,2009-07-10 00:00:00,15,Ametista,Ametista,Ametista,Ametista,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,7.917,9.640151515,6.26,8.125,,7.166666666666667,6.0,7.0,8.5,,,8.672,10.0,,,,2024
RA-187,Aluno-187,Feminino,4C,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,4C,Fase 4 (9° ano),0,Topázio,7.928183035966957,7.809875,8.568424074066666,2010-06-28 00:00:00,14,Ametista,Topázio,Ametista,Ametista,,,,3,Avaliador-21,,Avaliador-20,,Avaliador-26,,,,8.751,9.537037037,5.635,8.4375,,7.833333333333333,7.5,7.0,9.0,,,9.06,10.0,,,,2024
RA-189,Aluno-189,Masculino,5A,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5A,Fase 5 (1° EM),0,Topázio,7.628620754385966,7.727325,8.586533333333334,2008-12-23 00:00:00,15,Ametista,Ametista,Ametista,Ametista,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,10.002,10.0,6.255,6.875,,8.166666666666666,7.0,7.5,10.0,,,8.2,10.0,,,,2024
RA-19,Aluno-19,Feminino,8F,Universidade Santo Amaro (UNISA),Privada *Parcerias com Bolsa 100%,Cursando,2022,8F,Fase 8 (Universitários),0,,7.665178904761905,7.710866667,,2003-11-22 00:00:00,20,,,Ametista,Ametista,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-191,Aluno-191,Masculino,7E,FIAP School - SP,Privada *Parcerias com Bolsa 100%,Cursando,2021,7E,Fase 5 (1° EM),2,Ametista,8.740216279956428,7.263666667,7.7887,2009-05-21 00:00:00,15,Topázio,Topázio,Topázio,Ametista,,,,0,,,,,,,,,7.5,9.571,5.945,7.5,,6.3999999999999995,6.0,6.9,6.3,,,7.5,10.0,,,,2024
RA-192,Aluno-192,Masculino,5B,Rede Decisão - Unidade União,Privada,Cursando,2021,5B,Fase 7 (3° EM),-2,Agata,4.9321151079328756,6.616016667,6.882960606066668,2007-01-16 00:00:00,17,,Quartzo,Quartzo,Agata,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,8.334,6.363636363666667,7.51,7.125,,7.166666666666667,4.0,7.5,10.0,,,6.9,5.0,,,,2024
RA-193,Aluno-193,Masculino,5C,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5C,Fase 4 (9° ano),1,Topázio,8.155073214424952,7.718566667,8.465046969666668,2010-02-17 00:00:00,14,Topázio,Topázio,Topázio,Ametista,,,,4,Avaliador-23,,Avaliador-22,,Avaliador-1,Avaliador-5,,,8.751,9.848484848333333,6.26,8.4375,,7.0,6.5,4.5,10.0,,,8.7525,10.0,,,,2024
RA-195,Aluno-195,Feminino,5C,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5C,Fase 4 (9° ano),1,Topázio,8.016570200779729,7.60205,8.4690496032,2009-10-12 00:00:00,15,Ametista,Ametista,Ametista,Ametista,,,,4,Avaliador-23,,Avaliador-22,,Avaliador-1,Avaliador-5,,,7.5,9.682539682666667,6.26,7.96875,,7.833333333333333,9.0,6.5,8.0,,,8.965,10.0,,,,2024
RA-196,Aluno-196,Masculino,5C,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5C,Fase 4 (9° ano),1,Topázio,8.124397285239297,7.560991667,8.823550937933334,2010-01-23 00:00:00,14,Ametista,Topázio,Topázio,Ametista,,,,4,Avaliador-23,,Avaliador-22,,Avaliador-1,Avaliador-5,,,8.751,9.689754689666666,7.51,8.75,,8.0,8.0,7.0,9.0,,,8.9225,10.0,,,,2024
RA-197,Aluno-197,Feminino,5C,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5C,Fase 5 (1° EM),0,Topázio,8.217507976608186,7.967608333,8.568238636333334,2009-12-19 00:00:00,14,,Topázio,Topázio,Ametista,,,,4,Avaliador-23,,Avaliador-22,,Avaliador-1,Avaliador-5,,,7.5,9.848484848333333,6.26,7.96875,,8.333333333333334,7.0,8.0,10.0,,,8.795,10.0,,,,2024
RA-199,Aluno-199,Masculino,4A,Estuda em outra cidade,Privada,Cursando,2022,4A,Fase 5 (1° EM),-1,Ametista,7.5636047979797985,7.892341667,7.419398245666667,2009-01-11 00:00:00,15,,,Ametista,Ametista,,,,5,Avaliador-21,,Avaliador-23,,Avaliador-26,Avaliador-1,Avaliador-5,,8.334,7.554824561666667,6.88,8.125,,7.166666666666667,5.0,9.0,7.5,,,8.206,5.0,,,,2024
RA-2,Aluno-2,Feminino,8E,Faculdade FIAP,Privada *Parcerias com Bolsa 100%,Cursando,2021,8E,Fase 8 (Universitários),0,,7.054851281182869,,,2005-05-17 03:00:00,19,Ametista,Ametista,Ametista,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-202,Aluno-202,Feminino,5C,EE Leonice de Aquino Oliveira,Pública,Cursando,2021,5C,Fase 6 (2° EM),-1,Ametista,5.201146520702537,6.791641667,7.3512154762,2008-06-02 00:00:00,16,Ametista,Ametista,Quartzo,Agata,,,,4,Avaliador-23,,Avaliador-22,,Avaliador-1,Avaliador-5,,,8.334,7.880952381,6.26,7.65625,,7.5,8.5,6.0,8.0,,,7.75,5.0,,,,2024
RA-204,Aluno-204,Feminino,4B,EE Alexandre Rodrigues Nogueira,Pública,Cursando,2021,4B,Fase 4 (9° ano),0,Ametista,6.943054722222223,7.557558333,7.838218894866668,2009-07-08 00:00:00,15,Ametista,Ametista,Ágata,Ametista,,,,4,Avaliador-22,,Avaliador-26,,Avaliador-1,Avaliador-5,,,9.168,6.827094474333333,6.26,7.125,,7.5,5.0,7.5,10.0,,,8.5875,10.0,,,,2024
RA-21,Aluno-21,Masculino,8E,Faculdade FIAP,Privada - Pagamento por *Empresa Parceira,Cursando,2022,8E,Fase 8 (Universitários),0,,6.944792333333333,,,2004-09-13 03:00:00,20,,,Ágata,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
RA-211,Aluno-211,Masculino,5A,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5A,Fase 5 (1° EM),0,Topázio,8.464935044778892,8.024791667,8.283601875933334,2009-06-15 00:00:00,15,,Topázio,Topázio,Topázio,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,9.585,9.379509379666667,7.51,7.25,,7.0,5.5,6.5,9.0,,,7.866,10.0,,,,2024
RA-215,Aluno-215,Feminino,5B,EE Paschoal Carlos Magno,Pública,Cursando,2021,5B,Fase 5 (1° EM),0,Ametista,7.171874500000001,7.166475,7.045258874400002,2009-02-21 00:00:00,15,,Ágata,Ametista,Ametista,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,7.084,6.455627705333334,6.26,8.0,,5.666666666666667,5.0,2.0,10.0,,,7.432,10.0,,,,2024
RA-217,Aluno-217,Feminino,5A,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5A,Fase 6 (2° EM),-1,Ametista,7.3965272777777775,6.96965,7.4209164502,2007-11-06 00:00:00,17,,Ametista,Ametista,Agata,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,8.334,8.917748917666666,6.26,7.125,,7.833333333333333,9.0,7.0,7.5,,,6.994,5.0,,,,2024
RA-220,Aluno-220,Feminino,5B,EE Joaquim Mendes Feliz,Pública,Cursando,2022,5B,Fase 5 (1° EM),0,Ametista,7.027986444444445,7.102016667,7.6987770562666675,2009-01-30 00:00:00,15,,,Ágata,Ametista,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,8.751,8.198051948,6.26,7.25,,6.833333333333333,8.0,3.5,9.0,,,7.332,10.0,,,,2024
RA-227,Aluno-227,Masculino,3A,Colégio Nogueira e Sonho de Criança,Pública,Cursando,2022,3A,Fase 3 (7° e 8° ano),0,Topázio,6.470788936720144,7.722125,8.074015455333335,2010-12-10 00:00:00,13,,,Ágata,Ametista,,,,4,Avaliador-21,,Avaliador-26,,Avaliador-23,Avaliador-5,,,9.585,8.097577276666668,9.38,7.5,,6.5,4.0,6.0,9.5,,,7.54,10.0,,,,2024
RA-229,Aluno-229,Masculino,5C,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2022,5C,Fase 4 (9° ano),1,Topázio,8.62014138888889,8.207591667,8.852545634933334,2010-04-09 00:00:00,14,,,Topázio,Topázio,,,,4,Avaliador-23,,Avaliador-22,,Avaliador-1,Avaliador-5,,,9.585,9.841269841333334,5.635,8.28125,,8.833333333333334,9.5,7.0,10.0,,,8.8375,10.0,,,,2024
RA-23,Aluno-23,Masculino,8E,Universidade Santo Amaro (UNISA),Privada *Parcerias com Bolsa 100%,Cursando,2021,8E,Fase 8 (Universitários),0,,7.676832382089068,,,2005-11-03 02:00:00,19,,Ametista,Ametista,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,10.0,,,,2024
