RA,Nome,Gênero,Turma,Instituição de ensino,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2023,INDE 2022,INDE 2023,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-1043,Aluno-1043,Masculino,1G,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,,6.5447,6/29/2013,10.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,10.0,7.9,6.27,7.708333333,,2.5,2.0,3.0,,,,7.833333333,5.0,,,,2023
RA-716,Aluno-716,Masculino,1G,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,6.525,6.813366667,3/23/2013,10.0,,,Ágata,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,9.0,8.7,3.77,6.875,,5.6,5.0,6.2,,,,7.443333333,5.0,,,,2023
RA-1044,Aluno-1044,Feminino,1G,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,,7.629533333,4/24/2013,10.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.0,9.7,7.52,7.5,,6.1,4.5,7.7,,,,8.336666667,5.0,,,,2023
RA-745,Aluno-745,Masculino,1G,Privada - Programa de Apadrinhamento,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.382,7.668366667,2013-04-08 00:00:00,,,Topázio,Ametista,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,9.5,9.3,3.77,8.125,,7.0,5.7,8.2,,,,8.893333333,5.0,,,,2023
RA-717,Aluno-717,Feminino,1G,Pública,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,6.832,6.633833333,8/17/2012,11.0,,Ametista,Ágata,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,0.0,8.5,7.52,8.125,,5.9,5.5,6.3,,,,8.446666667,5.0,,,,2023
RA-718,Aluno-718,Feminino,1G,Pública,2022,FASE 1,Fase 1 (3° e 4° ano),0,Topázio,8.093,8.166866667,2014-11-08 00:00:00,,,,Topázio,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,9.5,9.1,3.77,7.916666667,,7.8,6.3,9.2,,,,8.39,10.0,,,,2023
RA-721,Aluno-721,Feminino,1G,Pública,2021,FASE 1,Fase 1 (3° e 4° ano),0,Topázio,7.973,8.683366667,3/20/2014,9.0,,Topázio,Ametista,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.5,9.5,7.52,8.125,,8.4,7.5,9.3,,,,8.443333333,10.0,,,,2023
RA-746,Aluno-746,Masculino,1G,Pública,2022,FASE 1,Fase 1 (3° e 4° ano),0,Agata,7.656,6.517166667,2014-09-04 00:00:00,,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,0.0,8.0,3.77,6.875,,7.2,6.0,8.3,,,,7.113333333,10.0,,,,2023
RA-1045,Aluno-1045,Feminino,1H,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,,8.089033333,8/18/2012,11.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,9.5,9.4,7.52,7.708333333,,7.9,6.8,9.0,,,,8.28,5.0,,,,2023
RA-483,Aluno-483,Feminino,1H,Pública,2019,FASE 1,Fase 3 (7° e 8° ano),-2,Agata,5.263,6.3972,9/30/2011,12.0,Ametista,Ágata,Quartzo,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,9.0,6.0,2.52,7.916666667,,5.6,5.0,6.2,,,,8.166666667,5.0,,,,2023
RA-1046,Aluno-1046,Masculino,1H,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Agata,,6.835833333,1/18/2014,9.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,0.0,8.5,3.77,8.541666667,,6.3,6.3,6.3,,,,8.223333333,10.0,,,,2023
RA-1047,Aluno-1047,Masculino,1H,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Ametista,,7.848366667,3/17/2014,9.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,10.0,8.5,3.77,8.125,,6.9,5.8,8.0,,,,7.893333333,10.0,,,,2023
RA-570,Aluno-570,Feminino,1H,Pública,2019,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,5.722,6.781033333,2012-03-01 00:00:00,,Topázio,Ágata,Quartzo,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.5,7.3,3.77,8.125,,5.9,5.7,6.0,,,,8.056666667,5.0,,,,2023
RA-1048,Aluno-1048,Feminino,1H,Privada,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,,7.811366667,7/20/2013,10.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.5,9.5,3.77,8.541666667,,8.2,7.5,8.8,,,,8.5,5.0,,,,2023
RA-1049,Aluno-1049,Masculino,1H,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,,7.443366667,6/17/2013,10.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,10.0,7.7,7.52,8.125,,6.3,5.5,7.0,,,,7.943333333,5.0,,,,2023
RA-1050,Aluno-1050,Masculino,1H,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,,7.764366667,4/15/2012,11.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,9.0,9.2,6.27,8.125,,7.2,6.2,8.2,,,,8.223333333,5.0,,,,2023
RA-1051,Aluno-1051,Feminino,1H,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Topázio,,8.534866667,1/14/2014,9.0,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.5,8.9,6.27,8.75,,8.4,7.0,9.8,,,,8.613333333,10.0,,,,2023
RA-707,Aluno-707,Feminino,1H,Pública,2020,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,7.679,6.518,2012-01-03 00:00:00,,Ametista,Ágata,Ametista,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,0.0,9.8,3.77,7.916666667,,6.5,5.5,7.5,,,,7.946666667,5.0,,,,2023
RA-1052,Aluno-1052,Masculino,1H,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Agata,,6.960333333,2014-04-06 00:00:00,,,,,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,0.0,9.0,7.52,7.916666667,,5.3,5.0,5.5,,,,7.833333333,10.0,,,,2023
RA-580,Aluno-580,Feminino,1H,Pública,2020,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,7.525,8.4712,2/15/2012,11.0,Topázio,Ametista,Ametista,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.5,9.8,7.52,8.75,,9.0,8.7,9.3,,,,8.67,5.0,,,,2023
RA-581,Aluno-581,Masculino,1H,Pública,2019,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,6.464,7.7167,2/24/2012,11.0,Ametista,Ametista,Ágata,,,,,3.0,Avaliador-15,,Avaliador-4,,Avaliador-3,,,,8.0,9.8,7.52,6.458333333,,7.9,7.0,8.8,,,,7.393333333,5.0,,,,2023
RA-735,Aluno-735,Feminino,1J,Pública,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.485,7.184,6/29/2012,11.0,,Ametista,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,0.0,9.0,7.52,8.333333333,,8.1,7.7,8.5,,,,8.393333333,5.0,,,,2023
RA-710,Aluno-710,Masculino,1J,Pública,2020,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.285,7.0582,2012-01-03 00:00:00,,Ametista,Ametista,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,9.5,9.0,3.77,7.083333333,,6.5,5.7,7.3,,,,7.113333333,5.0,,,,2023
RA-712,Aluno-712,Masculino,1J,Pública,2019,FASE 1,Fase 3 (7° e 8° ano),-2,Agata,6.026,6.331533333,3/13/2011,12.0,Quartzo,Quartzo,Ágata,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,9.5,5.6,3.14,7.5,,6.7,5.5,7.8,,,,6.836666667,5.0,,,,2023
RA-549,Aluno-549,Masculino,1J,Pública,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,6.301,7.0297,2012-07-05 00:00:00,,,Ametista,Ágata,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,9.5,8.1,5.02,6.875,,6.4,5.5,7.2,,,,7.5,5.0,,,,2023
RA-679,Aluno-679,Masculino,1J,Pública,2020,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,7.172,6.138366667,3/16/2012,11.0,Ametista,Ametista,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,7.5,7.5,5.02,6.875,,3.6,2.0,5.2,,,,7.393333333,5.0,,,,2023
RA-571,Aluno-571,Feminino,1J,Privada,2019,FASE 1,Fase 3 (7° e 8° ano),-2,Agata,6.589,6.6097,9/18/2011,12.0,Ametista,Ametista,Ágata,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,9.0,7.9,3.77,7.291666667,,5.0,3.8,6.2,,,,7.616666667,5.0,,,,2023
RA-714,Aluno-714,Masculino,1J,Pública,2019,FASE 1,Fase 3 (7° e 8° ano),-2,Agata,6.953,6.078666667,6/30/2011,12.0,Ágata,Ametista,Ágata,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,0.0,8.0,3.14,7.5,,7.4,6.7,8.0,,,,7.223333333,5.0,,,,2023
RA-737,Aluno-737,Feminino,1J,Pública,2022,FASE 1,Fase 1 (3° e 4° ano),0,Topázio,8.058,8.048033333,10/29/2013,9.0,,,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,9.5,7.8,7.52,7.291666667,,7.5,7.0,8.0,,,,7.783333333,10.0,,,,2023
RA-577,Aluno-577,Feminino,1J,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.862,7.219366667,3/25/2012,11.0,,,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,10.0,8.2,3.77,6.875,,7.4,6.5,8.3,,,,7.673333333,5.0,,,,2023
RA-1053,Aluno-1053,Masculino,1J,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Ametista,,7.776166667,8/18/2014,9.0,,,,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,0.0,9.1,6.27,8.958333333,,8.6,7.8,9.3,,,,8.616666667,10.0,,,,2023
RA-731,Aluno-731,Feminino,1J,Pública,2019,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,7.151,6.7742,4/24/2012,11.0,Ametista,Ágata,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,8.5,7.6,3.14,7.5,,6.8,6.2,7.3,,,,7.45,5.0,,,,2023
RA-552,Aluno-552,Masculino,1J,Pública,2022,FASE 1,Fase 3 (7° e 8° ano),-2,Quartzo,6.625,5.248666667,2011-09-02 00:00:00,,,,Ágata,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,0.0,5.6,3.14,6.666666667,,6.4,6.5,6.2,,,,6.89,5.0,,,,2023
RA-1054,Aluno-1054,Masculino,1J,Pública,2023,FASE 1,Fase 3 (7° e 8° ano),-2,Ametista,,7.459533333,2010-02-12 00:00:00,,,,,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,8.5,8.6,7.52,7.5,,6.6,5.0,8.2,,,,7.836666667,5.0,,,,2023
RA-1055,Aluno-1055,Masculino,1J,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Quartzo,,5.9765,2/18/2012,11.0,,,,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,0.0,7.2,7.52,7.291666667,,5.5,6.0,5.0,,,,7.276666667,5.0,,,,2023
RA-597,Aluno-597,Masculino,1K,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,8.265,8.49045,2/21/2013,10.0,,,Topázio,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,10.0,9.6,7.52,9.0625,,8.5,7.8,9.2,,,,8.56,5.0,,,,2023
RA-624,Aluno-624,Masculino,1K,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,7.425,8.270825,2012-02-08 00:00:00,,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.0,9.2,7.52,8.90625,,8.6,8.3,8.8,,,,8.39,5.0,,,,2023
RA-776,Aluno-776,Feminino,1K,Privada - Programa de Apadrinhamento,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Quartzo,3.898,5.567916667,2013-02-06 00:00:00,,,,Quartzo,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,0.0,7.0,7.52,7.8125,,3.5,4.2,2.7,,,,7.223333333,5.0,,,,2023
RA-600,Aluno-600,Feminino,1K,Pública,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.011,7.651658333,3/15/2013,10.0,,Ametista,Ágata,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,8.5,8.4,7.52,8.28125,,7.2,6.5,7.8,,,,8.056666667,5.0,,,,2023
RA-1056,Aluno-1056,Masculino,1K,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Topázio,,8.551741667,4/30/2014,9.0,,,,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,8.5,9.6,7.52,7.96875,,8.1,7.8,8.3,,,,8.113333333,10.0,,,,2023
RA-791,Aluno-791,Feminino,1K,Pública,2022,FASE 1,Fase 3 (7° e 8° ano),-2,Agata,7.507,6.247916667,2011-02-10 00:00:00,,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,0.0,8.1,7.52,7.8125,,5.3,6.0,4.5,,,,7.723333333,5.0,,,,2023
RA-601,Aluno-601,Masculino,1K,Pública,2021,FASE 1,Fase 1 (3° e 4° ano),0,Topázio,7.713,8.955783333,6/19/2014,9.0,,Topázio,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.0,10.0,7.52,9.0625,,8.7,8.0,9.3,,,,8.336666667,10.0,,,,2023
RA-762,Aluno-762,Masculino,1K,Pública,2022,FASE 1,Fase 3 (7° e 8° ano),-2,Ametista,7.28,7.09945,6/28/2010,13.0,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,10.0,9.1,3.14,7.8125,,5.8,6.2,5.3,,,,7.67,5.0,,,,2023
RA-778,Aluno-778,Feminino,1K,Pública,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.432,7.926825,2013-11-07 00:00:00,,,Topázio,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,8.5,7.9,7.52,8.90625,,8.2,7.3,9.0,,,,8.62,5.0,,,,2023
RA-628,Aluno-628,Masculino,1K,Pública,2022,FASE 1,Fase 3 (7° e 8° ano),-2,Topázio,7.577,8.370325,10/22/2011,12.0,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.5,8.9,7.52,8.28125,,9.4,9.0,9.7,,,,8.45,5.0,,,,2023
RA-606,Aluno-606,Masculino,1K,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,6.127,7.402491667,12/18/2012,10.0,,,Ágata,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,8.5,8.5,7.52,7.65625,,6.0,4.7,7.2,,,,8.223333333,5.0,,,,2023
RA-766,Aluno-766,Feminino,1K,Pública,2020,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,8.185,8.008408333,5/21/2012,11.0,Ametista,Ametista,Topázio,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,10.0,8.7,4.39,9.21875,,8.7,9.2,8.2,,,,8.336666667,5.0,,,,2023
RA-607,Aluno-607,Masculino,1K,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,6.44,7.333075,8/17/2012,11.0,,,Ágata,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,8.0,7.5,7.52,7.96875,,6.8,4.8,8.7,,,,8.17,5.0,,,,2023
RA-608,Aluno-608,Masculino,1K,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.216,7.401741667,12/20/2012,10.0,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,10.0,7.5,7.52,7.96875,,6.2,6.0,6.3,,,,8.113333333,5.0,,,,2023
RA-788,Aluno-788,Masculino,1K,Pública,2021,FASE 1,Fase 1 (3° e 4° ano),0,Ametista,8.264,7.806091667,2014-11-03 00:00:00,,,Topázio,Topázio,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,7.9,9.8,2.52,7.65625,,6.9,6.0,7.8,,,,8.283333333,10.0,,,,2023
RA-784,Aluno-784,Feminino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,8.34,8.171366667,4/24/2013,10.0,,,Topázio,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,10.0,9.5,7.52,8.125,,7.3,6.5,8.0,,,,8.783333333,5.0,,,,2023
RA-785,Aluno-785,Feminino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,7.642,8.137866667,7/19/2013,10.0,,,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,9.0,8.5,7.52,7.916666667,,8.8,8.2,9.4,,,,8.67,5.0,,,,2023
RA-587,Aluno-587,Masculino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,6.632,6.032033333,2012-04-04 00:00:00,,,,Ágata,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,8.5,7.0,7.52,6.458333333,,2.7,2.2,3.2,,,,6.72,5.0,,,,2023
RA-790,Aluno-790,Masculino,1L,Pública,2022,FASE 1,Fase 3 (7° e 8° ano),-2,Agata,7.504,6.707666667,2011-08-10 00:00:00,,,,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,0.0,8.1,7.52,7.083333333,,7.4,7.2,7.5,,,,8.286666667,5.0,,,,2023
RA-663,Aluno-663,Masculino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,6.376,6.969133333,2/17/2012,11.0,,,Ágata,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,6.9,7.4,7.52,6.666666667,,7.0,6.7,7.3,,,,7.393333333,5.0,,,,2023
RA-664,Aluno-664,Feminino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,7.277,8.0872,8/29/2012,11.0,,,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,9.0,9.6,7.52,7.916666667,,8.0,8.0,8.0,,,,8.116666667,5.0,,,,2023
RA-761,Aluno-761,Masculino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,8.06,8.219533333,1/23/2013,10.0,,,Topázio,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,9.0,9.7,7.52,8.333333333,,8.4,8.7,8.0,,,,8.12,5.0,,,,2023
RA-1057,Aluno-1057,Feminino,1L,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Topázio,,8.4827,1/17/2014,9.0,,,,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,10.0,10.0,7.52,8.125,,6.3,6.5,6.0,,,,8.34,10.0,,,,2023
RA-629,Aluno-629,Feminino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,8.11,8.013866667,3/21/2013,10.0,,,Topázio,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,10.0,9.4,7.52,7.916666667,,7.5,7.0,8.0,,,,7.95,5.0,,,,2023
RA-832,Aluno-832,Masculino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,8.179,8.2697,7/21/2013,10.0,,,Topázio,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,10.0,9.5,7.52,7.708333333,,8.5,9.2,7.7,,,,8.283333333,5.0,,,,2023
RA-594,Aluno-594,Masculino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,7.392,6.702033333,8/28/2012,11.0,,,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,8.5,7.1,6.27,6.875,,5.8,6.2,5.3,,,,7.336666667,5.0,,,,2023
RA-617,Aluno-617,Feminino,1L,Pública,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,7.107,6.816166667,10/31/2011,11.0,,Ametista,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,0.0,9.0,7.52,7.708333333,,6.9,5.5,8.2,,,,8.116666667,5.0,,,,2023
RA-767,Aluno-767,Masculino,1L,Pública,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.511,7.3807,4/19/2012,11.0,,Ametista,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,10.0,8.3,7.52,7.291666667,,6.3,6.5,6.0,,,,7.446666667,5.0,,,,2023
RA-1058,Aluno-1058,Feminino,1L,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Ametista,,7.356533333,2014-09-04 00:00:00,,,,,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,10.0,8.7,3.14,7.083333333,,5.4,4.0,6.7,,,,7.62,10.0,,,,2023
RA-747,Aluno-747,Feminino,1L,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,7.676,6.026366667,11/30/2011,11.0,,,Ametista,,,,,3.0,Avaliador-19,,Avaliador-4,,Avaliador-2,,,,10.0,8.0,3.14,6.041666667,,3.1,1.2,5.0,,,,6.94,5.0,,,,2023
RA-827,Aluno-827,Feminino,1M,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.412,7.419925,2012-11-10 00:00:00,,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,7.9,8.1,3.14,8.28125,,8.1,7.7,8.5,,,,8.73,5.0,,,,2023
RA-1059,Aluno-1059,Masculino,1M,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,,7.763741667,2013-06-07 00:00:00,,,,,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,10.0,9.8,2.52,7.96875,,7.6,6.2,9.0,,,,8.673333333,5.0,,,,2023
RA-612,Aluno-612,Feminino,1M,Privada - Programa de Apadrinhamento,2021,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,7.594,8.410783333,8/24/2012,11.0,,Topázio,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.0,9.7,3.77,9.0625,,9.7,9.3,10.0,,,,9.286666667,5.0,,,,2023
RA-1060,Aluno-1060,Masculino,1M,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,,7.095741667,2012-06-11 00:00:00,,,,,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.0,8.6,3.14,7.96875,,5.7,4.3,7.0,,,,8.673333333,5.0,,,,2023
RA-665,Aluno-665,Feminino,1M,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Agata,6.996,6.185658333,2011-07-12 00:00:00,,,,Ágata,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.5,4.9,2.52,8.28125,,5.2,5.0,5.3,,,,8.226666667,5.0,,,,2023
RA-829,Aluno-829,Feminino,1M,Pública,2022,FASE 1,Fase 1 (3° e 4° ano),0,Topázio,8.003,8.532075,9/30/2014,9.0,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.0,9.4,3.14,9.21875,,8.4,7.5,9.2,,,,9.23,10.0,,,,2023
RA-1061,Aluno-1061,Masculino,1M,Pública,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,,8.196533333,7/25/2013,10.0,,,,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.5,9.7,3.14,8.75,,9.3,8.8,9.7,,,,8.836666667,5.0,,,,2023
RA-1062,Aluno-1062,Masculino,1M,Pública,2023,FASE 1,Fase 1 (3° e 4° ano),0,Ametista,,7.448841667,2014-10-01 00:00:00,,,,,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,7.4,7.7,3.77,8.59375,,6.2,4.8,7.5,,,,8.503333333,10.0,,,,2023
RA-615,Aluno-615,Feminino,1M,Pública,2020,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,8.086,7.815658333,2013-02-04 00:00:00,,Topázio,Topázio,Topázio,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,10.0,9.7,3.14,8.28125,,7.6,6.8,8.3,,,,8.616666667,5.0,,,,2023
RA-833,Aluno-833,Masculino,1M,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,7.791,7.81295,2013-01-10 00:00:00,,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,10.0,9.5,3.77,8.4375,,7.4,7.3,7.5,,,,8.56,5.0,,,,2023
RA-630,Aluno-630,Masculino,1M,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,8.064,7.199991667,4/22/2013,10.0,,,Topázio,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.0,8.6,3.77,8.28125,,5.7,4.2,7.2,,,,8.673333333,5.0,,,,2023
RA-752,Aluno-752,Feminino,1N,Pública,2022,FASE 1,Fase 2 (5° e 6° ano),-1,Topázio,8.197,8.073825,11/28/2011,11.0,,,Topázio,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.5,9.9,7.52,7.65625,,6.4,4.8,8.0,,,,9.23,5.0,,,,2023
RA-777,Aluno-777,Feminino,1N,Pública,2022,FASE 1,Fase 1 (3° e 4° ano),0,Ametista,7.096,7.468125,2014-07-05 00:00:00,,,,Ametista,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,0.0,9.3,7.52,8.28125,,6.3,5.3,7.3,,,,8.84,10.0,,,,2023
RA-1063,Aluno-1063,Masculino,1N,Privada - Programa de Apadrinhamento,2023,FASE 1,Fase 2 (5° e 6° ano),-1,Ametista,,7.490825,2012-04-02 00:00:00,,,,,,,,,3.0,Avaliador-15,,Avaliador-5,,Avaliador-2,,,,9.5,9.5,7.52,6.40625,,5.9,4.7,7.0,,,,7.89,5.0,,,,2023
